id,troopname,stationname,year,month,reportingperiod,stopoutcome,movingflag,driverrace,poststopinteraction,exit,frisk,vehiclesearch,personsearch,consentrequest,useofforce,k9,evidenceseizure,arrest,totalpersonsinteractedwith,totalpersonsarrested,totalarrestedcharged,totalwantedpersons,totaldwi,totalobstruction,totalparaphrenalia,totalpossession,totalweapons,totalothercharges,totalarrestednotcharged,movingsummons,nonmovingsummons,movingwarning,nonmovingwarning,totalsummons,totalwarnings,statutenumber,statutename
5780246,A,Bridgeton,2020,7,24,Unknown,U,White,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,,,,,,,,,
5780412,A,Bridgeton,2020,7,24,Unknown,U,Hispanic,1,1,1,1,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,,,,,,,,,
5780893,A,Bridgeton,2020,7,24,Unknown,U,Hispanic,1,0,0,1,1,0,0,0,1,1,3,1,1,0,0,0,1,3,3,0,,,,,,,,,
5780971,A,Bridgeton,2020,8,24,Unknown,U,Black,1,1,0,1,1,0,0,0,1,1,2,2,1,0,0,0,0,1,0,0,1,,,,,,,,
5781438,A,Bridgeton,2020,8,24,Unknown,U,Black,1,1,0,1,1,0,0,0,0,1,1,1,,0,0,0,0,0,0,0,1,,,,,,,,
5782361,A,Bridgeton,2020,10,24,Unknown,U,Hispanic,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,,,,,,,,,
5782875,A,Bridgeton,2020,10,24,Unknown,U,Black,1,0,0,1,1,0,1,0,1,1,3,3,3,0,0,3,1,1,0,0,,,,,,,,,
5783926,A,Bridgeton,2020,11,24,Unknown,U,Black,1,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,
5783950,A,Bridgeton,2020,11,24,Unknown,U,White,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,,,,,,,,,
5784628,A,Bridgeton,2020,12,24,Unknown,U,Black,1,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5785858,A,Woodbine,2020,9,24,Unknown,U,Black,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,,,,,,,,,
5785863,A,Woodbine,2020,9,24,Unknown,U,White,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,,,,,,,,,
5786423,A,Woodbine,2020,10,24,Unknown,U,White,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,,,,,,,,,
5787322,A,Woodbine,2020,11,24,Unknown,U,Hispanic,1,1,0,1,1,0,0,0,0,1,2,1,1,1,0,1,0,0,0,0,,,,,,,,,
5789614,A,Buena Vista,2020,8,24,Unknown,U,White,1,0,0,1,1,0,0,0,1,1,2,1,1,0,0,0,0,1,0,1,,,,,,,,,
5790562,A,Buena Vista,2020,9,24,Unknown,U,White,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,,,,,,,,,
5792643,A,Buena Vista,2020,11,24,Unknown,U,White,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,,,,,,,,,
5794519,A,Port Norris,2020,7,24,Unknown,U,White,1,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
5794547,A,Port Norris,2020,7,24,Unknown,U,White,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,,,,,,,,,
5794595,A,Port Norris,2020,7,24,Unknown,U,White,1,1,0,1,1,0,0,0,0,1,3,3,2,1,1,2,0,0,0,0,1,,,,,,,,
5797647,A,Port Norris,2020,10,24,Unknown,U,Hispanic,1,0,0,1,1,0,0,0,1,1,2,2,2,0,1,2,0,0,0,2,,,,,,,,,
5798145,A,Port Norris,2020,10,24,Unknown,U,Black,1,0,0,1,1,0,0,0,1,1,2,2,2,0,0,0,0,2,0,1,,,,,,,,,
5798951,A,Port Norris,2020,11,24,Unknown,U,White,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5801983,A,Woodstown,2020,8,24,Unknown,U,White,1,0,0,1,0,0,0,0,0,1,3,1,1,1,0,1,0,0,0,0,,,,,,,,,
5804524,A,Woodstown,2020,11,24,Unknown,U,Hispanic,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,,,,,,,,,
5805372,A,Atlantic City,2020,7,24,Unknown,U,Black,1,1,0,1,1,0,0,0,1,1,2,2,1,0,0,0,1,1,0,0,1,,,,,,,,
5805407,A,Atlantic City,2020,7,24,Unknown,U,Hispanic,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,2,0,1,0,0,,,,,,,,,
5806374,A,Atlantic City,2020,8,24,Unknown,U,Black,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,2,0,1,,,,,,,,,
